at_index,sr_index,at_year,sr_year,NAD_distance,NAD_class,AHD_distance,AHD_class,NAD_at_ph,NAD_sr_ph,AHD_at_ph,AHD_sr_ph
0,1,2021,2020,3.0,1,,,cell,cell,,
0,2,2021,2020,3.0,1,,,cell,egg,,
0,3,2021,2019,2.0,1,,,cell,cell,,
0,4,2021,2018,3.0,1,,,cell,cell,,
0,5,2021,2019,2.0,1,,,cell,cell,,
0,6,2021,2014,2.0,1,,,cell,cell,,
0,7,2021,2017,4.5,1,,,cell,,,
0,8,2021,2016,2.0,1,,,cell,egg,,
9,10,2018,2017,5.0,1,,,egg,cell,,
9,4,2018,2018,4.0,1,,,egg,cell,,
9,11,2018,2018,1.0,0,,,egg,cell,,
9,12,2018,2018,1.0,0,,,egg,egg,,
9,13,2018,2018,1.0,0,,,egg,cell,,
9,8,2018,2016,3.0,1,,,egg,egg,,
9,14,2018,2017,5.0,1,,,egg,egg,,
15,16,2012,2011,2.0,1,,,cell,cell,,
15,17,2012,2012,4.0,1,,,cell,egg,,
15,18,2012,2010,4.0,1,,,cell,egg,,
15,19,2012,2009,3.0,1,,,cell,egg,,
15,20,2012,2011,4.0,1,,,cell,cell,,
15,21,2012,2012,2.0,1,,,cell,egg,,
15,22,2012,2009,4.0,1,,,cell,egg,,
15,23,2012,2011,2.0,1,,,cell,,,
24,25,2024,2023,1.0,0,,,cell,egg,,
24,26,2024,2022,2.0,1,,,cell,cell,,
24,27,2024,2023,0.0,0,,,cell,cell,,
24,28,2024,2024,3.0,1,,,cell,cell,,
24,29,2024,2023,2.0,1,,,cell,cell,,
30,31,2014,2013,2.0,1,,,cell,egg,,
30,32,2014,2013,3.0,1,,,cell,egg,,
30,18,2014,2010,3.0,1,,,cell,egg,,
30,33,2014,2012,2.0,1,,,cell,,,
30,19,2014,2009,3.0,1,,,cell,egg,,
30,34,2014,2013,2.0,1,,,cell,cell,,
30,35,2014,2013,3.0,1,,,cell,egg,,
30,20,2014,2011,3.0,1,,,cell,cell,,
30,21,2014,2012,3.0,1,,,cell,egg,,
30,23,2014,2011,3.0,1,,,cell,cell,,
36,31,2014,2013,3.0,1,,,cell,egg,,
36,32,2014,2013,3.0,1,,,cell,egg,,
36,18,2014,2010,5.0,1,,,cell,egg,,
36,33,2014,2012,3.0,1,,,cell,,,
36,34,2014,2013,2.0,1,,,cell,cell,,
36,35,2014,2013,3.0,1,,,cell,egg,,
36,20,2014,2011,4.0,1,,,cell,cell,,
36,21,2014,2012,4.0,1,,,cell,egg,,
36,23,2014,2011,3.0,1,,,cell,cell,,
37,31,2014,2013,3.0,1,,,cell,egg,,
37,32,2014,2013,3.0,1,,,cell,egg,,
37,18,2014,2010,5.0,1,,,cell,egg,,
37,33,2014,2012,2.0,1,,,cell,,,
37,34,2014,2013,2.0,1,,,cell,cell,,
37,35,2014,2013,3.0,1,,,cell,egg,,
37,20,2014,2011,4.0,1,,,cell,cell,,
37,21,2014,2012,4.0,1,,,cell,egg,,
